"domain","ip_address"
"putlocker-website.online","Addresses:  2a02:4780:1d:291f:8ee9:ab5:a771:c22a"
"putlockernew.site"," 199.59.243.228"
"onlinemovieshindi.com","Addresses:  2606:4700:3035::ac43:a383"
"movieston.com","Addresses:  172.233.219.49"
"maxfilmes.me","Addresses:  2606:4700:3037::ac43:b850"
"limetorrents.uproxy.to","Addresses:  2606:4700:3030::6815:6001"
"www.torrent9.ninja"," 10.14.0.70"
"tuaserie.net"," 162.0.209.104"
"superfilmes.tv"," 10.14.0.70"
"spotiflix.site","Addresses:  2600:3c03::f03c:95ff:fe91:5d52"
"putlocker.bet"," 192.157.56.142"
"fmovie.watch"," 10.14.0.70"
"1234movies.club","Addresses:  2606:4700:3034::ac43:baaf"
"0gomovies.li"," 103.224.182.253"
"ytsno.com"," 103.224.182.242"
"yts.lv"," 10.14.0.70"
"yify-movies.fun"," 103.224.182.210"
"www.elitetorrent.in","Addresses:  2606:4700:3030::6815:7001"
"seriesflix2.com","Addresses:  172.237.146.8"
"fly.ninja"," 10.14.0.70"
"filmstreamingvf.onl","Addresses:  2606:4700:3032::6815:2dad"
"rarbg.to","Addresses:  2600:3c03::f03c:95ff:fe91:5d52"
"www.watchseries.cyou","Addresses:  2606:4700:3030::6815:571a"
"www.fmovies.top","Addresses:  2606:4700:3036::6815:56c9"
"ww1.fmovies.cab","Addresses:  2606:4700:3032::6815:5119"
"redecanais.cloud"," 103.224.182.238"
"fmovies.studio","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"idope.org"," 75.2.37.224"
"gomovies.earth"," 10.14.0.70"
"www4.egybest.nl"," 10.14.0.70"
"www.baixarfilmetorrenthd.com"," 69.16.230.165"
"kr2.ibe.kr"," 10.14.0.70"
"katmoviehd.sx"," 104.247.81.51"
"gomovies.wales"," 10.14.0.70"
"go.egybest.fans"," 10.14.0.70"
"animeslog.com","Addresses:  172.233.219.49"
"animesgratis.cc","Addresses:  172.237.146.8"
"123movies.page"," 199.59.243.228"
"limetorrents.unblockedstreaming.net","Addresses:  2606:4700:3030::6815:523"
"watchmoviesstream.com"," 10.14.0.70"
"seriesflix.top"," 199.59.243.228"
"putlockert.com"," 75.2.18.233"
"megafilmes.live","Addresses:  172.237.146.25"
"kinoonline.su","Addresses:  31.177.80.32"
"gomovies.beer"," 10.14.0.70"
"ayeno.net","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"superflix.xyz"," 162.210.196.167"
"megaseries.online"," 103.224.182.217"
"filmestorrentdownloads.com.br"," 10.14.0.70"
"filmesonlinevizer.com","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"filmeseseriesonlinebr.com"," 23.82.12.32"
"www2.torrent9-film.fr"," 104.247.81.53"
"94.23.38.29"," 94.23.38.29"
"123moviesgo.fr"," 10.14.0.70"
"yabancidizi.pw","Addresses:  2606:4700:3030::6815:3001"
"www.fullhdfilmizlesene.com","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"www.filmizlefilmsitesi.com","Addresses:  2606:4700:3030::6815:1001"
"www.1337xx.to","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"wwv6.movierulz4k.com"," 103.224.182.216"
"jetfilmizle.live","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"1337x.uproxy.co","Addresses:  2606:4700:3037::ac43:d098"
"www.vidbm.com"," 103.224.212.210"
"uptostream.com","Addresses:  104.21.96.1"
"www.uwatchfree.cz"," 10.14.0.70"
"www2.zoechip.com","Addresses:  2606:4700:3032::ac43:af35"
"123movies.london"," 103.224.182.252"
"weibo.com","Addresses:  36.51.224.126"
"yts.mx","Addresses:  104.26.0.60"
"ww23.123gostream.fun"," 185.107.56.55"
"123chill.to"," 37.48.65.152"
"www.thesuperdownload.nl"," 10.14.0.70"
"www.foumovies.se"," 103.224.182.253"
"thepiratebay1.to"," 10.14.0.70"
"hidratorrent.org"," 69.16.230.165"
"eastnaija.com"," 10.14.0.70"
"basenaija.com","Addresses:  2606:4700:3031::ac43:caa6"
"www.comandohdtorrents.com"," 72.52.179.174"
"vizer.tv","Addresses:  2606:4700:3033::6815:4d52"
"stream-planet.com"," 10.14.0.70"
"movies4me.life"," 103.224.212.210"
"gomoviesnow.cc","Addresses:  2606:4700:3035::6815:28d1"
"123movieshub.name"," 5.79.68.110"
"ww3.series9.ac","Addresses:  172.233.219.49"
"kisscartoon.xyz"," 75.2.37.224"
"www.actvid.com"," 64.190.63.222"
"premierfirst.co.uk","Addresses:  2600:3c03::f03c:95ff:feed:4d4f"
"maxseries.xyz"," 162.210.195.123"
"maxserie.live"," 82.192.82.227"
"www.loveflix.net","Addresses:  172.237.146.25"
"noxx.is"," 199.59.243.228"
"123movies0.cyou"," 10.14.0.70"
"www.uwatchfreehd.com"," 10.14.0.70"
"www.themegaseries.com"," 10.14.0.70"
"solarmovie.mom"," 203.161.58.46"
"pctmix1.com","Addresses:  172.233.219.123"
"khfullhd.net"," 208.91.197.132"
"torrentfunk.unblockedbay.com","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"megafilmeshdd.com"," 69.162.95.5"
"filmestorrentmax.com.br"," 10.14.0.70"
